15  ..\data\pa3-B-Output.txt
11.24	19.10	-26.08	11.16	19.12	-26.09	0.08
-28.96	-30.95	-30.73	-29.93	-33.23	-31.16	2.52
-7.63	3.03	30.92	-8.33	2.91	31.07	0.72
1.18	10.95	-8.27	1.15	11.01	-8.30	0.08
-32.46	-3.97	-9.86	-31.62	-5.27	-12.85	3.37
-25.34	0.98	-12.44	-24.44	-0.76	-14.42	2.79
-14.83	16.06	18.89	-16.63	15.47	17.48	2.35
12.70	24.55	16.99	12.63	22.04	16.64	2.54
29.81	3.90	-28.74	30.57	4.12	-29.96	1.46
17.57	25.92	-10.54	17.56	24.27	-10.29	1.66
-22.83	3.48	-43.79	-22.81	3.89	-44.38	0.72
-16.72	-32.37	-28.04	-16.49	-33.90	-28.17	1.56
27.67	17.47	-24.45	27.77	17.55	-24.54	0.16
32.61	-3.00	12.40	31.59	-2.09	11.52	1.63
27.03	6.16	-30.05	27.25	5.82	-32.89	2.87

