20  ..\data\pa3-G-Output.txt
-8.70	7.00	30.61	-9.99	6.45	31.05	1.47
21.00	24.36	9.76	18.94	18.92	8.56	5.94
10.02	12.51	-10.80	10.37	12.14	-10.22	0.77
8.56	-13.44	3.48	7.62	-17.89	5.33	4.91
-37.78	-21.15	-36.61	-37.50	-20.98	-36.46	0.35
24.66	-14.62	-14.95	27.95	-19.76	-15.69	6.15
-0.53	-10.91	-32.56	0.03	-10.60	-32.86	0.71
-12.79	1.35	10.25	-8.01	1.00	8.43	5.13
4.94	-6.99	43.17	5.77	-14.59	43.25	7.65
-13.62	-2.99	-46.82	-13.79	-3.19	-45.67	1.18
-11.01	9.46	-24.90	-13.90	5.30	-23.98	5.15
40.22	4.54	-2.05	41.88	4.63	-1.67	1.70
24.15	-5.46	16.75	26.22	-11.89	18.49	6.97
11.74	5.02	62.94	11.76	4.97	61.48	1.46
16.15	7.05	-20.30	17.14	6.76	-19.47	1.33
18.79	14.06	-31.22	18.20	13.61	-32.74	1.69
-0.38	-15.82	-34.89	0.76	-16.02	-35.22	1.20
-7.02	-8.88	10.40	-8.28	-10.34	11.21	2.10
6.41	-7.45	61.75	6.53	-11.50	61.49	4.06
0.65	9.89	-10.72	1.25	4.00	-9.31	6.09

